400MHz;500MHz;600MHz;700MHz;800MHz;900MHz;1000MHz;1100MHz;1200MHz;1300MHz;1400MHz
202.7;199.9;183.8;185.1;183.5;187.8;189.59;196.52;202.54;220.1;226.44
193.82;200.56;182.3;181.15;178.03;189.24;186.85;195.75;199.89;212.75;227.69
197.77;202.87;181.47;172.37;184.24;189.24;190.77;193.62;201.22;218.5;228.88
197.7;200.4;182.19;181.13;182.63;185.91;191.34;196.52;201.59;226.03;231.37
195.04;199.34;179.79;180.77;187.57;187.73;191.27;195.83;200.48;219.21;227.53
197.81;202.02;186.85;178.45;183.49;186.94;190.95;191.85;201.46;221.25;230.78
198.86;201.1;182.28;180.91;185.39;185.59;191.06;196.38;200.44;224.7;231.68
187.13;197.6;178.69;179.31;184.23;187.04;190.75;197.46;186.43;226.9;226.57
198.84;199.84;185.79;182.44;184.15;188.15;195.67;195.68;202.13;218.1;232.06
198.44;197.72;181.25;181.2;181.48;183.79;185.63;193.6;203.06;218;234.25
197.1;201.2;183.5;180.5;181.1;187.9;190.8;192.6;203;226.3;226.6
195.5;201.8;180.4;185.6;186.6;189.3;190.1;198.1;205.1;213.3;226.9
193.8;197.9;181;177.5;180.1;188.6;184.5;197.4;192.8;218.6;229.8
200.4;203.7;183.8;181.7;183.2;185.9;192.9;195.1;204.1;209.2;234.5
188.9;199.6;184.9;182.3;184;186.3;187.7;193.6;195.6;218.8;226.5
194.6;202.6;183.8;182.8;185.4;183.2;188.3;197.1;197.5;219.1;230.1
195;198.9;184.4;173.6;185.8;186;191.5;195.3;205;224.9;231.5
193.5;198.9;178;181.1;183.9;186.6;191.3;196.2;205.8;219.4;232
191.9;201.3;182.9;174.2;184.6;186.9;190.5;194.9;206.9;224.8;233.4
188.9;199.9;177.5;178.4;188.3;187.6;191;193.9;204.2;227.9;234.3
192.1;201.1;184.8;180;185.9;187;189.9;198.2;202.7;223.9;227.1
193.8;199;186.2;181;184.5;188.9;192.5;197.3;200.1;219.4;229.2
197.1;197.6;189.6;185.4;179.7;187;193.4;193.5;198.5;234.7;228.7
190.5;200.2;185.5;183.8;182.6;186.2;189.8;196.2;201.6;219.4;226.2
198.8;201.2;187.4;179.9;183.8;188.3;187.9;193.4;192.2;215.6;227.9
199.2;200;181.5;179.9;182;188.5;193.1;194.6;202.3;209;233.5
193.3;200.8;186.1;179.3;183.1;184.8;186.1;197.1;206.3;224.7;228.6
199.7;200.7;186.3;182.1;179.7;185.2;193.3;196;199.4;226.1;228.6
193.5;201.6;184.8;176.7;183.3;187.4;184.6;196.3;196.8;224.2;231.9
202.7;201;182.3;185;184.4;185.5;188.3;197.3;198.8;218.2;227.5
