486MHz;594MHz;702MHz;810MHz ;918MHz;1026MHz;1134MHz;1242MHz;1350MHz;1458MHz;1566MHz;1674MHz;1782MHz;1890MHz
240.230;241.190;231.300;234.420;226.730;242.010;284.590;289.310;289.390;299.290;302.320;316.120;339.100;366.000
232.930;233.220;236.400;236.330;228.430;233.570;270.480;289.170;270.010;302.010;313.320;319.190;340.880;367.160
248.270;242.710;228.270;230.490;240.780;244.400;281.960;285.250;291.370;308.640;318.420;323.270;343.830;369.250
249.350;246.630;224.890;237.260;234.230;243.060;285.700;285.180;291.620;294.720;311.520;325.030;347.920;369.870
230.650;227.530;224.490;236.660;240.260;244.190;288.810;287.470;283.400;310.180;315.760;330.220;342.290;377.230
246.020;243.600;231.230;228.270;233.170;228.700;287.240;283.430;277.510;315.030;314.440;325.580;340.000;373.100
246.200;236.940;231.350;236.890;241.800;242.510;284.180;287.440;278.330;316.470;308.920;326.060;336.400;359.100
231.790;233.510;230.700;238.200;240.850;242.260;287.630;292.590;291.200;303.830;306.880;328.020;343.700;352.300
248.620;242.990;232.470;230.110;229.560;246.200;285.610;288.700;291.030;319.550;314.300;327.690;327.350;360.090
246.450;244.670;230.570;228.170;229.060;246.440;284.770;291.460;292.940;314.380;319.160;323.290;341.180;375.870
244.610;240.300;232.900;235.200;236.300;238.400;287.200;290.700;282.800;318.500;313.700;321.400;344.900;357.100
237.240;240.800;236.300;232.400;240.200;237.300;284.200;287.200;290.600;309.400;314.800;315.700;341.100;380.900
241.090;232.500;232.900;230.600;242.300;237.100;280.800;288.100;289.700;298.900;319.100;322.800;327.600;354.800
239.240;234.000;229.200;240.200;240.500;250.100;284.100;289.000;285.500;311.900;318.700;329.200;329.600;375.400
262.980;237.300;226.500;231.500;228.400;238.300;289.900;285.800;288.600;302.000;300.800;323.400;340.900;375.900
236.510;233.500;228.700;233.900;228.600;239.200;286.200;290.100;274.700;298.500;307.200;329.200;327.700;380.200
254.530;235.700;227.900;236.300;237.000;238.800;273.000;286.000;284.200;301.700;311.700;325.400;332.300;377.000
236.960;245.100;232.700;240.600;233.000;239.200;278.300;292.000;296.400;322.200;312.400;333.900;348.500;370.600
237.250;235.800;233.300;240.800;229.100;233.000;283.000;289.200;288.500;313.600;314.100;329.600;335.800;381.500
236.810;238.000;241.000;236.900;234.800;243.800;274.100;286.900;279.300;310.400;305.300;323.300;331.700;362.800
230.870;245.900;228.900;230.700;234.000;249.400;287.800;286.700;280.400;313.500;313.100;320.200;338.800;365.700
247.880;240.400;224.800;234.000;246.100;238.800;282.500;291.300;292.600;324.200;319.200;321.600;333.600;365.900
246.840;245.700;235.700;231.300;239.100;242.100;276.200;289.500;272.900;310.800;320.800;324.600;341.000;361.300
235.620;246.600;226.900;233.300;237.800;238.900;283.400;288.500;298.500;316.900;306.700;324.700;346.100;374.000
237.700;235.000;229.600;236.200;255.900;242.100;287.400;287.400;280.900;306.600;319.600;327.200;347.000;338.200
243.190;242.000;225.000;230.100;231.500;240.100;288.600;287.900;298.000;312.600;314.300;321.600;328.500;359.900
232.610;235.400;232.400;238.400;237.600;243.100;283.800;288.600;296.600;318.100;313.900;320.300;352.700;369.400
238.440;246.600;228.800;231.900;230.400;236.900;287.300;278.300;293.900;295.000;308.900;324.100;355.300;365.900
244.420;231.700;225.500;234.000;232.500;239.600;276.000;288.300;292.000;303.000;311.300;329.800;336.200;373.800
241.730;243.600;233.800;233.600;234.400;248.300;284.400;288.800;285.400;317.100;303.700;326.100;334.900;360.900
