PS;O;P;PQ;700MHz;1100MHz;1400MHz
240.300;249.658;202.027;193.771;185.100;196.520;226.440
242.200;240.714;199.493;199.372;181.150;195.750;227.690
250.200;257.513;189.737;202.452;172.370;193.620;228.880
243.600;238.190;200.834;200.769;181.130;196.520;231.370
243.200;243.761;201.164;202.452;180.770;195.830;227.530
251.600;235.710;202.363;200.769;178.450;191.850;230.780
252.200;229.657;190.142;201.354;180.910;196.380;231.680
246.700;241.685;190.142;202.631;179.310;197.460;226.570
242.100;240.426;186.356;200.740;182.440;195.680;232.060
246.400;244.765;199.251;188.944;181.200;193.600;234.250
238.000;238.345;201.944;188.944;180.500;192.600;226.600
240.900;243.646;201.712;198.920;185.600;198.100;226.900
244.700;246.235;203.789;202.447;177.500;197.400;229.800
249.400;244.165;190.506;202.955;181.700;195.100;234.500
246.400;246.580;194.438;208.175;182.300;193.600;226.500
246.300;238.517;202.836;208.175;182.800;197.100;230.100
245.500;239.554;202.758;203.475;173.600;195.300;231.500
241.400;247.641;208.218;202.793;181.100;196.200;232.000
246.900;239.211;198.775;201.849;174.200;194.900;233.400
244.700;236.612;201.329;204.068;178.400;193.900;234.300
245.500;236.704;200.491;203.382;180.000;198.200;227.100
245.300;237.541;198.699;203.886;181.000;197.300;229.200
247.100;235.725;202.031;194.800;185.400;193.500;228.700
242.600;244.092;202.523;198.107;183.800;196.200;226.200
243.000;241.046;202.413;202.159;179.900;193.400;227.900
240.800;244.863;199.174;202.792;179.900;194.600;233.500
246.500;238.233;203.122;206.201;179.300;197.100;228.600
242.200;241.232;201.889;206.201;182.100;196.000;228.600
238.100;223.339;196.679;203.410;176.700;196.300;231.900
239.800;235.402;204.675;203.562;185.000;197.300;227.500
