PS;O;P;I;702MHz;1134MHz;1890MHz
2.808.000;2.347.360;2.638.000;2.402.000;231.300;284.590;366.000
2.757.626;2.374.199;2.725.846;2.312.854;236.400;270.480;367.160
2.782.000;2.417.650;2.760.103;2.378.957;228.270;281.960;369.250
2.936.000;2.409.579;2.806.000;2.406.233;224.890;285.700;369.870
2.858.000;2.420.458;2.769.000;2.386.095;224.490;288.810;377.230
2.869.000;2.289.403;2.768.864;2.374.000;231.230;287.240;373.100
2.835.000;2.344.510;2.855.000;2.399.764;231.350;284.180;359.100
2.814.232;2.410.206;2.782.361;2.372.000;230.700;287.630;352.300
2.818.000;2.373.490;2.739.000;2.382.240;232.470;285.610;360.090
2.833.863;2.302.817;2.766.401;2.414.000;230.570;284.770;375.870
2.926.000;2.422.406;2.601.253;2.412.000;232.900;287.200;357.100
2.867.000;2.413.461;2.721.000;2.396.939;236.300;284.200;380.900
2.899.427;2.420.647;2.767.631;2.370.000;232.900;280.800;354.800
2.903.123;2.280.438;2.689.000;2.399.423;229.200;284.100;375.400
2.946.018;2.436.790;2.780.120;2.365.000;226.500;289.900;375.900
2.831.000;2.352.139;2.771.382;2.405.714;228.700;286.200;380.200
2.842.000;2.378.477;2.783.084;2.390.205;227.900;273.000;377.000
2.909.607;2.408.954;2.822.884;2.416.290;232.700;278.300;370.600
2.823.000;2.327.289;2.754.000;2.395.396;233.300;283.000;381.500
2.752.563;2.415.402;2.731.701;2.415.548;241.000;274.100;362.800
2.874.000;2.354.043;2.791.535;2.372.000;228.900;287.800;365.700
2.844.000;2.413.043;2.792.818;2.418.000;224.800;282.500;365.900
2.928.727;2.255.068;2.792.818;2.420.000;235.700;276.200;361.300
2.904.000;2.397.116;2.708.600;2.393.347;226.900;283.400;374.000
2.861.000;2.369.325;2.788.247;2.440.000;229.600;287.400;338.200
2.814.000;2.450.294;2.672.000;2.422.926;225.000;288.600;359.900
2.867.512;2.385.325;2.710.000;2.402.570;232.400;283.800;369.400
2.823.046;2.360.073;2.736.322;2.407.327;228.800;287.300;365.900
2.917.052;2.376.239;2.752.000;2.391.693;225.500;276.000;373.800
2.906.000;2.388.910;2.767.039;2.411.000;233.800;284.400;360.900
